表二,:,按四分位開支組別及商品或服務類別劃分的住戶每月平均開支,,,,,,
Table 2,:,Average monthly household expenditure by commodity/service section by quartile expenditure group,,,,,,

,最低四分位,,第二個四分位,,第三個四分位,,最高四分位,
,The lowest 25%,,The second 25%,,The third 25%,,The highest 25%,
,($),(%),($),(%),($),(%),($),(%)
食品,"3,865",43,"6,108",34.2,"8,044",29.4,"12,200",21.6
Food,,,,,,,,
住屋,"2,519",28.1,"6,484",36.4,"10,363",37.9,"20,218",35.9
Housing,,,,,,,,
電力、燃氣及水,485,5.4,652,3.7,751,2.7,"1,071",1.9
"Electricity, gas and water",,,,,,,,
煙酒,95,1.1,123,0.7,165,0.6,223,0.4
Alcoholic drinks and tobacco,,,,,,,,
衣履,168,1.9,506,2.8,898,3.3,"2,247",4
Clothing and footwear,,,,,,,,
耐用物品,133,1.5,397,2.2,759,2.8,"2,281",4
Durable goods,,,,,,,,
雜項物品,334,3.7,591,3.3,"1,018",3.7,"2,207",3.9
Miscellaneous goods,,,,,,,,
交通,549,6.1,"1,045",5.9,"1,657",6.1,"5,075",9
Transport,,,,,,,,
雜項服務,831,9.3,"1,929",10.8,"3,670",13.4,"10,865",19.3
Miscellaneous services,,,,,,,,
所有商品或服務類別,"8,980",100,"17,835",100,"27,325",100,"56,387",100
All commodity/service sections,,,,,,,,
